Order_ID,Supplier,SKU,Product_Type,Ordered_Quantity,Unit_Cost,Order_Date,Supplier_Lead_Time_Days,Manufacturing_Lead_Time_Days,Inspection_Result,Defect_Rate,Location,Revenue,Total_Cost,Avg_Lead_Time
1020,S2,SKU-20,Logic ICs,1,40.62,2025-01-20 00:00:00,15,15,Pass,2.42,Chennai,50.16,40.62,30
1021,S4,SKU-21,Sensors,69,229.67,2025-01-21 00:00:00,15,9,Pass,0.68,Chennai,19741.87,15847.23,24
1022,S1,SKU-22,Logic ICs,4,23.62,2025-01-22 00:00:00,10,8,Pass,5.29,Chennai,114.02,94.48,18
1023,S2,SKU-23,Microprocessors,16,383.72,2025-01-23 00:00:00,23,15,Fail,4.63,Chennai,7547.73,6139.52,38
1024,S2,SKU-24,Microprocessors,24,443.09,2025-01-24 00:00:00,17,18,Fail,4.5,Chennai,13364.71,10634.16,35
1025,S3,SKU-25,Logic ICs,80,59.08,2025-01-25 00:00:00,15,14,Pending,3.65,Coimbatore,5560.71,4726.4,29
1026,S4,SKU-26,Logic ICs,2,95.94,2025-01-26 00:00:00,12,12,Pass,1.58,Bengaluru,225.34,191.88,24
1027,S1,SKU-27,Microprocessors,92,309.74,2025-01-27 00:00:00,23,10,Pending,3.09,Pune,37537.92,28496.08,33
1028,S3,SKU-28,Microprocessors,32,561.39,2025-01-28 00:00:00,18,10,Fail,3.49,Mumbai,22622.85,17964.48,28
1029,S3,SKU-29,Sensors,91,223.65,2025-01-29 00:00:00,11,12,Fail,3.13,Pune,25831.04,20352.15,23
1030,S1,SKU-30,Microprocessors,84,187.16,2025-01-30 00:00:00,24,11,Pending,1.8,Pune,20172.4,15721.44,35
1031,S4,SKU-31,Sensors,24,228.34,2025-01-31 00:00:00,20,19,Fail,3.08,Bengaluru,6902.16,5480.16,39
1032,S1,SKU-32,Sensors,12,92.86,2025-02-01 00:00:00,17,14,Pass,2.96,Bengaluru,1370.91,1114.32,31
1033,S1,SKU-33,Sensors,50,60.17,2025-02-02 00:00:00,19,18,Pending,5.48,Bengaluru,3723.59,3008.5,37
1034,S5,SKU-34,Sensors,35,334.15,2025-02-03 00:00:00,12,15,Pass,4.99,Chennai,14376.41,11695.25,27
1035,S5,SKU-35,Sensors,33,339.35,2025-02-04 00:00:00,22,16,Pass,2.82,Coimbatore,13432.93,11198.55,38
1036,S5,SKU-36,Logic ICs,33,98.54,2025-02-05 00:00:00,21,14,Pending,3.61,Chennai,3974.52,3251.82,35
1037,S2,SKU-37,Microprocessors,61,393.69,2025-02-06 00:00:00,14,17,Pass,4.24,Coimbatore,29972.69,24015.09,31
1038,S1,SKU-38,Sensors,51,70.28,2025-02-07 00:00:00,15,12,Fail,0.67,Coimbatore,4238.17,3584.28,27
1039,S4,SKU-39,Microprocessors,43,697.39,2025-02-08 00:00:00,19,18,Pass,4.97,Pune,38520.71,29987.77,37
1040,S2,SKU-40,Microprocessors,12,502.12,2025-02-09 00:00:00,15,6,Pending,4.8,Pune,7457.75,6025.44,21
1041,S1,SKU-41,Sensors,67,77.83,2025-02-10 00:00:00,13,13,Pass,2.79,Coimbatore,6643.65,5214.61,26
1042,S3,SKU-42,Logic ICs,65,63.46,2025-02-11 00:00:00,12,5,Pending,2.46,Coimbatore,5137.12,4124.9,17
1043,S1,SKU-43,Sensors,33,50.66,2025-02-12 00:00:00,13,19,Fail,1.86,Chennai,2125.65,1671.78,32
1044,S5,SKU-44,Logic ICs,40,109.84,2025-02-13 00:00:00,10,12,Pass,2.88,Chennai,5215.27,4393.6,22
1045,S2,SKU-45,Microprocessors,74,357.02,2025-02-14 00:00:00,13,16,Fail,0.72,Pune,32272.6,26419.48,29
1046,S4,SKU-46,Logic ICs,43,82.2,2025-02-15 00:00:00,10,15,Pending,4.76,Bengaluru,4392.91,3534.6,25
1047,S2,SKU-47,Logic ICs,44,42.91,2025-02-16 00:00:00,21,16,Fail,0.68,Coimbatore,2252.09,1888.04,37
1048,S3,SKU-48,Logic ICs,29,66.25,2025-02-17 00:00:00,24,16,Pass,2.15,Chennai,2395.16,1921.25,40
1049,S3,SKU-49,Microprocessors,13,587.37,2025-02-18 00:00:00,10,8,Fail,5.16,Pune,10051.49,7635.81,18
1050,S1,SKU-50,Microprocessors,12,297.88,2025-02-19 00:00:00,19,8,Fail,4.18,Chennai,4665.88,3574.56,27
1051,S5,SKU-51,Logic ICs,95,116.59,2025-02-20 00:00:00,23,9,Fail,1.91,Coimbatore,13063.59,11076.05,32
1052,S4,SKU-52,Logic ICs,46,94.81,2025-02-21 00:00:00,15,12,Fail,1.76,Coimbatore,5183.4,4361.26,27
1053,S5,SKU-53,Sensors,2,331.24,2025-02-22 00:00:00,14,9,Pass,0.53,Mumbai,838.11,662.48,23
1054,S5,SKU-54,Logic ICs,35,108.22,2025-02-23 00:00:00,23,12,Pass,3.98,Bengaluru,4475.9,3787.7,35
1055,S3,SKU-55,Sensors,87,225.35,2025-02-24 00:00:00,20,19,Fail,0.74,Mumbai,23466.73,19605.45,39
1056,S5,SKU-56,Logic ICs,81,111.25,2025-02-25 00:00:00,24,14,Fail,3.16,Pune,10864.69,9011.25,38
1057,S1,SKU-57,Sensors,90,67.43,2025-02-26 00:00:00,13,5,Pass,5.31,Chennai,7729.19,6068.7,18
1058,S1,SKU-58,Microprocessors,8,306.79,2025-02-27 00:00:00,22,16,Pending,1.05,Pune,3165.1,2454.32,38
1059,S1,SKU-59,Logic ICs,93,13.07,2025-02-28 00:00:00,20,19,Fail,4.97,Coimbatore,1467.13,1215.51,39
1060,S2,SKU-60,Logic ICs,26,44.44,2025-03-01 00:00:00,12,14,Fail,5.46,Mumbai,1339.98,1155.44,26
1061,S2,SKU-61,Logic ICs,74,51.53,2025-03-02 00:00:00,10,13,Pending,0.81,Mumbai,4619.72,3813.22,23
1062,S2,SKU-62,Logic ICs,90,38.39,2025-03-03 00:00:00,15,10,Fail,4.91,Mumbai,4315.44,3455.1,25
1063,S5,SKU-63,Sensors,34,296.91,2025-03-04 00:00:00,11,7,Pending,3.08,Pune,12053.44,10094.94,18
1064,S2,SKU-64,Logic ICs,7,47.96,2025-03-05 00:00:00,17,17,Fail,5.03,Coimbatore,403.48,335.72,34
1065,S2,SKU-65,Microprocessors,68,374.75,2025-03-06 00:00:00,19,18,Pass,3.36,Chennai,33325.07,25483,37
1066,S3,SKU-66,Microprocessors,58,584.16,2025-03-07 00:00:00,14,12,Pass,3.81,Chennai,43844.98,33881.28,26
1067,S1,SKU-67,Logic ICs,75,23.78,2025-03-08 00:00:00,16,13,Fail,3.22,Pune,2175.34,1783.5,29
1068,S5,SKU-68,Microprocessors,29,791.76,2025-03-09 00:00:00,19,10,Fail,4.82,Mumbai,29625.45,22961.04,29
1069,S1,SKU-69,Logic ICs,36,16.35,2025-03-10 00:00:00,21,15,Pass,4.17,Bengaluru,698.05,588.6,36
1070,S5,SKU-70,Logic ICs,89,118.53,2025-03-11 00:00:00,11,11,Pass,3.11,Pune,12441.26,10549.17,22
1071,S4,SKU-71,Microprocessors,21,767.8,2025-03-12 00:00:00,22,5,Pass,4.84,Pune,20976.03,16123.8,27
1072,S1,SKU-72,Logic ICs,36,30.26,2025-03-13 00:00:00,17,18,Pass,1.73,Coimbatore,1341.01,1089.36,35
1073,S1,SKU-73,Microprocessors,10,154.42,2025-03-14 00:00:00,11,9,Fail,1.29,Chennai,2017.82,1544.2,20
1074,S5,SKU-74,Sensors,73,292.79,2025-03-15 00:00:00,13,9,Pass,1.3,Pune,27172.86,21373.67,22
1075,S4,SKU-75,Logic ICs,24,87.17,2025-03-16 00:00:00,10,14,Fail,2.17,Pune,2512.87,2092.08,24
1076,S4,SKU-76,Sensors,64,265.99,2025-03-17 00:00:00,24,18,Fail,1.69,Mumbai,20941.31,17023.36,42
1077,S4,SKU-77,Microprocessors,99,767.02,2025-03-18 00:00:00,14,8,Fail,5.15,Mumbai,98702.53,75934.98,22
1078,S1,SKU-78,Sensors,49,62.95,2025-03-19 00:00:00,18,10,Pending,1.03,Bengaluru,3840.25,3084.55,28
1079,S2,SKU-79,Sensors,99,151.12,2025-03-20 00:00:00,10,11,Pass,3.99,Coimbatore,18704.04,14960.88,21
1080,S1,SKU-80,Microprocessors,36,242.7,2025-03-21 00:00:00,18,13,Fail,1.45,Bengaluru,11354.68,8737.2,31
1081,S5,SKU-81,Sensors,82,307.56,2025-03-22 00:00:00,20,5,Fail,4.91,Mumbai,32004.09,25219.92,25
1082,S4,SKU-82,Sensors,96,233.22,2025-03-23 00:00:00,24,19,Pass,5.31,Chennai,27175.9,22389.12,43
1083,S2,SKU-83,Microprocessors,24,414.72,2025-03-24 00:00:00,17,10,Pending,2.83,Mumbai,12516.83,9953.28,27
1084,S1,SKU-84,Sensors,23,59.7,2025-03-25 00:00:00,15,11,Pass,4.9,Coimbatore,1633.16,1373.1,26
1085,S2,SKU-85,Microprocessors,62,398.79,2025-03-26 00:00:00,16,7,Pass,0.53,Mumbai,31594.27,24724.98,23
1086,S2,SKU-86,Sensors,96,140.81,2025-03-27 00:00:00,12,12,Fail,4.6,Coimbatore,15999.54,13517.76,24
1087,S4,SKU-87,Microprocessors,37,733.68,2025-03-28 00:00:00,23,19,Pass,1.64,Coimbatore,34382.24,27146.16,42
1088,S4,SKU-88,Microprocessors,12,660.05,2025-03-29 00:00:00,24,9,Pending,5.04,Coimbatore,10092.94,7920.6,33
1089,S5,SKU-89,Sensors,55,315.04,2025-03-30 00:00:00,10,19,Fail,0.51,Coimbatore,20942.59,17327.2,29
1090,S3,SKU-90,Sensors,13,186.39,2025-03-31 00:00:00,14,13,Pending,3.28,Coimbatore,3002.39,2423.07,27
1091,S1,SKU-91,Sensors,23,77.07,2025-04-01 00:00:00,23,9,Fail,4.28,Chennai,2097.09,1772.61,32
1092,S4,SKU-92,Logic ICs,89,87.88,2025-04-02 00:00:00,21,13,Fail,1.79,Bengaluru,9023.73,7821.32,34
1093,S4,SKU-93,Logic ICs,99,93.21,2025-04-03 00:00:00,21,14,Pending,1.47,Pune,11371.04,9227.79,35
1094,S3,SKU-94,Logic ICs,30,70.86,2025-04-04 00:00:00,11,8,Pass,0.92,Bengaluru,2521.24,2125.8,19
1095,S4,SKU-95,Microprocessors,17,766.77,2025-04-05 00:00:00,23,13,Pending,2.13,Coimbatore,16068.43,13035.09,36
1096,S3,SKU-96,Sensors,62,193.08,2025-04-06 00:00:00,14,9,Pass,3.3,Chennai,14750.91,11970.96,23
1097,S3,SKU-97,Microprocessors,84,568.19,2025-04-07 00:00:00,17,14,Fail,1.08,Mumbai,61903.13,47727.96,31
1098,S2,SKU-98,Logic ICs,89,55.88,2025-04-08 00:00:00,20,13,Pass,2.38,Chennai,5826.65,4973.32,33
1099,S1,SKU-99,Sensors,86,47.88,2025-04-09 00:00:00,18,7,Fail,0.55,Coimbatore,5115.35,4117.68,25
1100,S1,SKU-100,Microprocessors,13,236.31,2025-04-10 00:00:00,11,19,Pass,4.59,Chennai,3774.1,3072.03,30
1101,S1,SKU-101,Sensors,59,49.74,2025-04-11 00:00:00,21,8,Pending,1.14,Chennai,3478.07,2934.66,29
1102,S4,SKU-102,Microprocessors,19,659.13,2025-04-12 00:00:00,12,13,Pending,1.92,Coimbatore,15944.07,12523.47,25
1103,S2,SKU-103,Sensors,49,137.45,2025-04-13 00:00:00,12,14,Pending,0.59,Chennai,8311.48,6735.05,26
1104,S3,SKU-104,Logic ICs,12,64.96,2025-04-14 00:00:00,10,15,Pass,2.66,Pune,946.14,779.52,25
1105,S5,SKU-105,Logic ICs,61,109.65,2025-04-15 00:00:00,17,10,Fail,4.7,Pune,8177.6,6688.65,27
1106,S1,SKU-106,Sensors,19,117.28,2025-04-16 00:00:00,15,6,Fail,2.46,Chennai,2846.87,2228.32,21
1107,S2,SKU-107,Microprocessors,76,478.31,2025-04-17 00:00:00,21,11,Pass,1.4,Mumbai,46225.74,36351.56,32
1108,S4,SKU-108,Logic ICs,9,92.62,2025-04-18 00:00:00,22,6,Pass,4.27,Coimbatore,985.54,833.58,28
1109,S1,SKU-109,Logic ICs,71,33.63,2025-04-19 00:00:00,17,15,Fail,4.44,Pune,2935.76,2387.73,32
1110,S1,SKU-110,Logic ICs,28,16.62,2025-04-20 00:00:00,20,6,Fail,1.37,Mumbai,547.77,465.36,26
1111,S2,SKU-111,Sensors,78,129.82,2025-04-21 00:00:00,18,15,Fail,4.35,Chennai,12393.13,10125.96,33
1112,S1,SKU-112,Sensors,95,89.98,2025-04-22 00:00:00,14,5,Fail,5.24,Mumbai,10153.82,8548.1,19
1113,S5,SKU-113,Microprocessors,52,893.76,2025-04-23 00:00:00,23,15,Pass,1.33,Bengaluru,56817.95,46475.52,38
1114,S5,SKU-114,Microprocessors,83,796.5,2025-04-24 00:00:00,21,15,Pass,4.35,Pune,87017.61,66109.5,36
1115,S4,SKU-115,Microprocessors,16,656.72,2025-04-25 00:00:00,23,16,Pass,4.04,Chennai,13697.58,10507.52,39
1116,S5,SKU-116,Sensors,69,310.15,2025-04-26 00:00:00,12,15,Pending,2.87,Coimbatore,26741.82,21400.35,27
1117,S5,SKU-117,Sensors,99,289.14,2025-04-27 00:00:00,14,7,Pass,0.79,Chennai,34947.96,28624.86,21
1118,S1,SKU-118,Microprocessors,12,299.26,2025-04-28 00:00:00,14,10,Pass,0.87,Coimbatore,4443.4,3591.12,24
1119,S5,SKU-119,Microprocessors,25,864.05,2025-04-29 00:00:00,14,12,Pass,4.76,Chennai,26691.45,21601.25,26
1120,S3,SKU-120,Sensors,52,207.2,2025-04-30 00:00:00,12,13,Pending,5.45,Mumbai,12983.41,10774.4,25
1121,S5,SKU-121,Microprocessors,85,795.95,2025-05-01 00:00:00,20,11,Pending,3.88,Mumbai,86255.85,67655.75,31
1122,S5,SKU-122,Logic ICs,53,108.36,2025-05-02 00:00:00,23,8,Fail,2.73,Mumbai,7014.94,5743.08,31
1123,S2,SKU-123,Sensors,23,138.58,2025-05-03 00:00:00,19,10,Fail,3.74,Bengaluru,3971.49,3187.34,29
1124,S1,SKU-124,Microprocessors,16,238.04,2025-05-04 00:00:00,23,9,Fail,3.47,Coimbatore,4753.16,3808.64,32
1125,S1,SKU-125,Sensors,57,110.66,2025-05-05 00:00:00,13,12,Pass,2.42,Mumbai,8045.28,6307.62,25
1126,S2,SKU-126,Logic ICs,39,55.84,2025-05-06 00:00:00,18,5,Pending,0.83,Bengaluru,2665.12,2177.76,23
1127,S5,SKU-127,Sensors,53,293.58,2025-05-07 00:00:00,22,5,Fail,4.61,Coimbatore,19223.05,15559.74,27
1128,S5,SKU-128,Sensors,42,306.83,2025-05-08 00:00:00,19,17,Fail,2.36,Chennai,15994.81,12886.86,36
1129,S1,SKU-129,Sensors,58,42.16,2025-05-09 00:00:00,18,19,Fail,4.59,Bengaluru,2988.03,2445.28,37
1130,S3,SKU-130,Sensors,39,198.33,2025-05-10 00:00:00,11,15,Fail,1.76,Pune,9318.76,7734.87,26
1131,S2,SKU-131,Logic ICs,14,54.75,2025-05-11 00:00:00,17,10,Fail,0.51,Bengaluru,908.76,766.5,27
1132,S1,SKU-132,Sensors,95,108.85,2025-05-12 00:00:00,17,14,Pending,1.29,Bengaluru,12985.75,10340.75,31
1133,S1,SKU-133,Sensors,5,77.16,2025-05-13 00:00:00,16,16,Pending,2.84,Coimbatore,455.8,385.8,32
1134,S2,SKU-134,Microprocessors,35,420.09,2025-05-14 00:00:00,17,6,Fail,5.22,Chennai,18108.51,14703.15,23
1135,S5,SKU-135,Sensors,87,332.3,2025-05-15 00:00:00,23,9,Fail,1.01,Pune,34246.91,28910.1,32
1136,S2,SKU-136,Microprocessors,93,408.56,2025-05-16 00:00:00,12,5,Pass,4.77,Mumbai,46509.97,37996.08,17
1137,S3,SKU-137,Logic ICs,75,66.1,2025-05-17 00:00:00,22,11,Fail,3.14,Mumbai,6125.22,4957.5,33
1138,S4,SKU-138,Logic ICs,18,86.74,2025-05-18 00:00:00,15,5,Pass,4.63,Bengaluru,1905.38,1561.32,20
1139,S2,SKU-139,Logic ICs,76,48.73,2025-05-19 00:00:00,10,8,Fail,1.99,Coimbatore,4434.61,3703.48,18
1140,S5,SKU-140,Logic ICs,9,116.84,2025-05-20 00:00:00,16,13,Pending,4.7,Coimbatore,1219.58,1051.56,29
1141,S5,SKU-141,Microprocessors,74,919.96,2025-05-21 00:00:00,24,5,Fail,4.36,Mumbai,86400.76,68077.04,29
1142,S2,SKU-142,Sensors,58,118.05,2025-05-22 00:00:00,24,8,Fail,1.65,Pune,8403.52,6846.9,32
1143,S3,SKU-143,Logic ICs,17,63.69,2025-05-23 00:00:00,10,10,Pass,1.16,Chennai,1263.89,1082.73,20
1144,S2,SKU-144,Sensors,7,133.27,2025-05-24 00:00:00,18,10,Pass,4.84,Pune,1141.28,932.89,28
1145,S2,SKU-145,Microprocessors,46,377.87,2025-05-25 00:00:00,10,16,Fail,5.32,Chennai,21898.75,17382.02,26
1146,S1,SKU-146,Microprocessors,13,179.51,2025-05-26 00:00:00,10,19,Pass,0.66,Mumbai,2990.75,2333.63,29
1147,S4,SKU-147,Microprocessors,40,637.65,2025-05-27 00:00:00,24,17,Pass,4.16,Chennai,32737.19,25506,41
1148,S3,SKU-148,Logic ICs,42,64.3,2025-05-28 00:00:00,16,12,Fail,5.05,Coimbatore,3117.92,2700.6,28
1149,S1,SKU-149,Sensors,9,55.96,2025-05-29 00:00:00,11,5,Fail,4.79,Bengaluru,613.16,503.64,16
1150,S2,SKU-150,Sensors,50,126.38,2025-05-30 00:00:00,23,11,Fail,5.32,Bengaluru,7851.9,6319,34
1151,S5,SKU-151,Sensors,27,321.56,2025-05-31 00:00:00,14,5,Pass,4.3,Mumbai,10681.73,8682.12,19
1152,S1,SKU-152,Microprocessors,66,341.65,2025-06-01 00:00:00,17,17,Fail,2.71,Coimbatore,29440.95,22548.9,34
1153,S1,SKU-153,Logic ICs,5,24.23,2025-06-02 00:00:00,17,18,Fail,2.06,Pune,147.3,121.15,35
1154,S3,SKU-154,Microprocessors,29,541.56,2025-06-03 00:00:00,12,11,Fail,2.1,Coimbatore,19416.29,15705.24,23
1155,S5,SKU-155,Microprocessors,37,938.52,2025-06-04 00:00:00,16,7,Fail,4.12,Bengaluru,42609.84,34725.24,23
1156,S1,SKU-156,Sensors,38,115.04,2025-06-05 00:00:00,12,15,Pass,4.23,Bengaluru,5439.23,4371.52,27
1157,S4,SKU-157,Microprocessors,83,687.71,2025-06-06 00:00:00,15,12,Fail,1.5,Coimbatore,69788.84,57079.93,27
1158,S4,SKU-158,Sensors,8,276.1,2025-06-07 00:00:00,15,7,Fail,4.84,Coimbatore,2735.77,2208.8,22
1159,S1,SKU-159,Logic ICs,65,34.62,2025-06-08 00:00:00,12,18,Pending,4.07,Bengaluru,2799.43,2250.3,30
1160,S4,SKU-160,Sensors,86,265.75,2025-06-09 00:00:00,16,18,Fail,3.31,Pune,28283.53,22854.5,34
1161,S2,SKU-161,Logic ICs,17,49.19,2025-06-10 00:00:00,12,17,Fail,2.86,Mumbai,994.12,836.23,29
1162,S4,SKU-162,Sensors,71,236.01,2025-06-11 00:00:00,17,5,Pass,3.22,Mumbai,20850.86,16756.71,22
1163,S4,SKU-163,Microprocessors,89,656.82,2025-06-12 00:00:00,19,17,Fail,1.3,Coimbatore,73996.32,58456.98,36
1164,S3,SKU-164,Microprocessors,45,578.62,2025-06-13 00:00:00,13,17,Pending,1.52,Mumbai,33186.91,26037.9,30
1165,S1,SKU-165,Logic ICs,4,18.11,2025-06-14 00:00:00,24,18,Fail,0.96,Bengaluru,90.13,72.44,42
1166,S5,SKU-166,Logic ICs,36,101.55,2025-06-15 00:00:00,24,12,Fail,1.27,Bengaluru,4345.32,3655.8,36
1167,S2,SKU-167,Logic ICs,70,43.93,2025-06-16 00:00:00,22,7,Fail,2.77,Coimbatore,3831.94,3075.1,29
1168,S1,SKU-168,Sensors,31,97.82,2025-06-17 00:00:00,10,6,Fail,3.15,Coimbatore,3852.8,3032.42,16
1169,S1,SKU-169,Sensors,19,52.64,2025-06-18 00:00:00,13,5,Fail,0.59,Coimbatore,1199.77,1000.16,18
1170,S3,SKU-170,Logic ICs,61,74.18,2025-06-19 00:00:00,23,18,Pending,4.48,Pune,5235.11,4524.98,41
1171,S4,SKU-171,Microprocessors,54,692.05,2025-06-20 00:00:00,16,7,Fail,1.97,Mumbai,45968.87,37370.7,23
1172,S1,SKU-172,Sensors,39,45.14,2025-06-21 00:00:00,20,19,Fail,5.06,Coimbatore,2080.55,1760.46,39
1173,S3,SKU-173,Sensors,91,198.75,2025-06-22 00:00:00,13,6,Pending,5.34,Chennai,21512.59,18086.25,19
1174,S1,SKU-174,Sensors,74,110.21,2025-06-23 00:00:00,22,6,Pass,1.43,Chennai,10180.57,8155.54,28
1175,S4,SKU-175,Logic ICs,90,80.26,2025-06-24 00:00:00,15,10,Pass,2.81,Bengaluru,8358.33,7223.4,25
1176,S1,SKU-176,Logic ICs,19,27.53,2025-06-25 00:00:00,18,16,Pass,0.51,Mumbai,618.22,523.07,34
1177,S4,SKU-177,Logic ICs,39,85.39,2025-06-26 00:00:00,10,5,Pending,3.49,Coimbatore,4111.1,3330.21,15
1178,S2,SKU-178,Logic ICs,67,51.31,2025-06-27 00:00:00,22,6,Pass,3.54,Chennai,3961.44,3437.77,28
1179,S5,SKU-179,Logic ICs,45,112.91,2025-06-28 00:00:00,14,18,Pass,1.74,Mumbai,6256.92,5080.95,32
1180,S1,SKU-180,Microprocessors,13,260.02,2025-06-29 00:00:00,20,10,Pass,3.29,Bengaluru,4219.19,3380.26,30
1181,S2,SKU-181,Microprocessors,92,422.85,2025-06-30 00:00:00,16,7,Pass,1.63,Pune,47920.37,38902.2,23
1182,S1,SKU-182,Logic ICs,58,20.71,2025-07-01 00:00:00,10,19,Pass,1.3,Mumbai,1465.05,1201.18,29
1183,S5,SKU-183,Sensors,20,326.66,2025-07-02 00:00:00,23,8,Fail,3.76,Mumbai,8120.08,6533.2,31
1184,S5,SKU-184,Logic ICs,92,106.26,2025-07-03 00:00:00,13,5,Fail,2.13,Pune,12100.12,9775.92,18
1185,S2,SKU-185,Microprocessors,72,356.35,2025-07-04 00:00:00,15,12,Pass,3.45,Mumbai,33187.77,25657.2,27
1186,S4,SKU-186,Microprocessors,61,677.99,2025-07-05 00:00:00,11,17,Pass,2.67,Bengaluru,53779,41357.39,28
1187,S5,SKU-187,Sensors,39,293.34,2025-07-06 00:00:00,19,11,Pass,5.42,Bengaluru,13822.16,11440.26,30
1188,S3,SKU-188,Microprocessors,1,594.16,2025-07-07 00:00:00,14,11,Pass,1.25,Pune,735.42,594.16,25
1189,S3,SKU-189,Logic ICs,3,67.32,2025-07-08 00:00:00,20,7,Fail,2.82,Coimbatore,247.41,201.96,27
1190,S1,SKU-190,Sensors,77,114.97,2025-07-09 00:00:00,19,14,Fail,3.9,Chennai,11160.44,8852.69,33
1191,S1,SKU-191,Logic ICs,92,18.43,2025-07-10 00:00:00,10,14,Pass,2.48,Coimbatore,2117.84,1695.56,24
1192,S5,SKU-192,Logic ICs,62,108.49,2025-07-11 00:00:00,15,7,Fail,5.37,Mumbai,8012.88,6726.38,22
1193,S5,SKU-193,Sensors,63,319.13,2025-07-12 00:00:00,15,18,Pass,4.11,Chennai,24472.07,20105.19,33
1194,S4,SKU-194,Logic ICs,25,78.91,2025-07-13 00:00:00,22,6,Pending,3.78,Pune,2421.83,1972.75,28
1195,S2,SKU-195,Microprocessors,56,421.22,2025-07-14 00:00:00,24,16,Fail,4.29,Pune,29581.65,23588.32,40
1196,S2,SKU-196,Logic ICs,33,47.11,2025-07-15 00:00:00,24,5,Fail,5.26,Chennai,1932.52,1554.63,29
1197,S4,SKU-197,Sensors,38,265.05,2025-07-16 00:00:00,13,11,Pass,5.04,Bengaluru,12749.43,10071.9,24
1198,S5,SKU-198,Sensors,6,318.1,2025-07-17 00:00:00,22,11,Pending,4.12,Chennai,2334.03,1908.6,33
1199,S5,SKU-199,Sensors,58,315,2025-07-18 00:00:00,17,16,Pass,4.25,Mumbai,22930.44,18270,33
1200,S4,SKU-200,Logic ICs,44,95.35,2025-07-19 00:00:00,13,6,Pass,1.23,Bengaluru,5141.27,4195.4,19
